web-scraper-order,web-scraper-start-url,tital,cover-src,DATE READ ,book_link,book_link-href,author name
"1614483097-392","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528909036l/39071691._SX318_.jpg","","The Bullet Journal Method: Track the Past, Order the Present, Design the Future","https://www.goodreads.com/book/show/39071691-the-bullet-journal-method",""
"1614483132-429","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","Matariki: the star of the year","","","Matariki: the star of the year","https://www.goodreads.com/book/show/35626596-matariki",""
"1614483163-462","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","","","Girl, Woman, Other","https://www.goodreads.com/book/show/41081373-girl-woman-other","Bernardine Evaristo"
"1614483069-357","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","The Conscious Closet: The Revolutionary Guide to Looking Good While Doing Good","","","The Conscious Closet: The Revolutionary Guide to Looking Good While Doing Good","https://www.goodreads.com/book/show/43586638-the-conscious-closet",""
"1614483113-410","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477435238l/32497565._SY475_.jpg","","Generation One
        (Lorien Legacies Reborn, #1)","https://www.goodreads.com/book/show/32497565-generation-one",""
"1614483155-452","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583115260l/48982701._SY475_.jpg","","What Stars are Made of: The Life of Cecilia Payne-Gaposchkin","https://www.goodreads.com/book/show/48982701-what-stars-are-made-of",""
"1614483065-349","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","Avatar: The Last Airbender: Team Avatar Tales","","","Avatar: The Last Airbender: Team Avatar Tales","https://www.goodreads.com/book/show/38897137-avatar",""
"1614483159-456","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483642947l/31869108._SY475_.jpg","","Inferior: How Science Got Women Wrong—and the New Research That's Rewriting the Story","https://www.goodreads.com/book/show/31869108-inferior",""
"1614483105-400","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439026461l/26061543._SX318_.jpg","","Plastic Water: The Social and Material Life of Bottled Water","https://www.goodreads.com/book/show/26061543-plastic-water",""
"1614483141-437","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","Avatar: The Last Airbender: Katara and the Pirate's Silver","","","Avatar: The Last Airbender: Katara and the Pirate's Silver
        (Avatar: The Last Airbender, #0.5)","https://www.goodreads.com/book/show/52815360-avatar",""
"1614483113-411","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","","June 22, 2020
–

Finished Reading","Generation One
        (Lorien Legacies Reborn, #1)","https://www.goodreads.com/book/show/32497565-generation-one",""
"1614483163-460","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542296262l/41081373._SY475_.jpg","","Girl, Woman, Other","https://www.goodreads.com/book/show/41081373-girl-woman-other",""
"1614483057-340","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","Origins: Fourteen Billion Years of Cosmic Evolution","","","Origins: Fourteen Billion Years of Cosmic Evolution","https://www.goodreads.com/book/show/20663771-origins",""
"1614483120-420","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","","","Rich Enough? A Laid-Back Guide For Every Kiwi","https://www.goodreads.com/book/show/42962402-rich-enough-a-laid-back-guide-for-every-kiwi","Mary Holm"
"1614483129-428","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","","","Southern Nights","https://www.goodreads.com/book/show/45455157-southern-nights","Naomi Arnold"
"1614483053-318","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","","","Avatar: The Last Airbender: The Lost Adventures","https://www.goodreads.com/book/show/10450750-avatar","Aaron Ehasz"
"1614483159-457","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","","January  6, 2021
–

Finished Reading","Inferior: How Science Got Women Wrong—and the New Research That's Rewriting the Story","https://www.goodreads.com/book/show/31869108-inferior",""
"1614483090-381","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582118586l/51477196.jpg","","The Legend of Korra: Ruins of the Empire
        (The Legend of Korra, #2)","https://www.goodreads.com/book/show/51477196-the-legend-of-korra",""
"1614483129-426","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571474404l/45455157._SX318_.jpg","","Southern Nights","https://www.goodreads.com/book/show/45455157-southern-nights",""
"1614483093-386","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","A Family Guide to Waste-free Living","","","A Family Guide to Waste-free Living","https://www.goodreads.com/book/show/42653043-a-family-guide-to-waste-free-living",""
"1614483137-434","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567612158l/50196744._SX318_SY475_.jpg","","Know My Name","https://www.goodreads.com/book/show/50196744-know-my-name",""
"1614483053-313","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","Avatar: The Last Airbender: The Lost Adventures","","","Avatar: The Last Airbender: The Lost Adventures","https://www.goodreads.com/book/show/10450750-avatar",""
"1614483167-466","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","","","Scarcity: Why Having Too Little Means So Much","https://www.goodreads.com/book/show/17286670-scarcity","Sendhil Mullainathan"
"1614483053-339","https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table","","","","Avatar: The Last Airbender: The Lost Adventures","https://www.goodreads.com/book/show/10450750-avatar","Tom McWeeney"
