web-scraper-order,web-scraper-start-url,page,page-href,title,author_name,,gender,country 1,country 2
1614553368-888,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,"Avatar: The Last Airbender: North and South
        (Avatar: The Last Airbender, #5)","Yang, Gene Luen",,M,United States,
1614553379-935,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,Junkyard Planet: Travels in the Billion-Dollar Trash Trade,"Minter, Adam",,M,United States,
1614553363-859,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,"Girl, Woman, Other","Evaristo, Bernardine",,F,United Kingdom,
1614553368-881,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Two People & a Place: The Family Who Lived in Sydney Observatory,"Russell, Roslyn",,F,Australia,
1614553363-871,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,"Generation One
        (Lorien Legacies Reborn, #1)","Lore, Pittacus",,M,United States,
1614553368-892,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,"Avatar: The Last Airbender - The Rift
        (Avatar: The Last Airbender, #3)","Yang, Gene Luen",,M,United States,
1614553379-918,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,Broke Millennial Takes on Investing: A Beginner's Guide to Leveling Up Your Money,"Lowry, Erin",,F,United States,
1614553390-976,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,"Swift
        (Swift, #1)","Anderson, R.J.",,F,Canada,
1614553385-940,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality and Our Destiny Beyond Earth","Kaku, Michio",,M,United States,
1614553373-904,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,101 Ways to Go Zero Waste,"Kellogg, Kathryn",,F,United States,
1614553363-865,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,Know My Name,"Miller, Chanel",,M,United States,
1614553368-880,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,"Allegiant
        (Divergent, #3)","Roth, Veronica",,F,United States,
1614553363-875,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,"The Bullet Journal Method: Track the Past, Order the Present, Design the Future","Carroll, Ryder",,M,United States,
1614553379-920,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,The Index Card: Why Personal Finance Doesn’t Have to Be Complicated,"Olen, Helaine",,F,United States,
1614553373-913,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,Forces of Nature,"Cox, Brian",,M,United Kingdom,
1614553368-882,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,The Conscious Closet: The Revolutionary Guide to Looking Good While Doing Good,"Cline, Elizabeth L.",,F,United States,
1614553390-962,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,"Harry Potter and the Goblet of Fire
        (Harry Potter, #4)","Rowling, J.K.",,F,United Kingdom,
1614553394-982,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=7&per_page=20&shelf=read&utf8=%E2%9C%93,"The Eternity Code
        (Artemis Fowl #3)","Colfer, Eoin",,M,Ireland,
1614553368-884,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Kindred,"Butler, Octavia E.",,M,United States,
1614553385-938,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,Artemis,"Weir, Andy",,M,United States,
1614553368-891,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,F,Nigeria,
1614553373-902,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store","Flanders, Cait",,F,Canada,
1614553385-945,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"Hunger
        (Gone, #2)","Grant, Michael",,M,United States,
1614553379-922,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,Caesar's Last Breath: Decoding the Secrets of the Air Around Us,"Kean, Sam",,M,United States,
1614553385-948,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,Nomad,"Anderson, R.J.",,F,Canada,
1614553394-983,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=7&per_page=20&shelf=read&utf8=%E2%9C%93,"Arrow
        (Faery Rebels, #3)","Anderson, R.J.",,F,Canada,
1614553363-860,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,Inferior: How Science Got Women Wrong—and the New Research That's Rewriting the Story,"Saini, Angela",,F,United Kingdom,
1614553368-885,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Origins: Fourteen Billion Years of Cosmic Evolution,"Tyson, Neil deGrasse",,M,United States,
1614553379-921,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,A Life Less Throwaway: The Lost Art of Buying for Life,"Button, Tara",,F,United Kingdom,
