web-scraper-order,web-scraper-start-url,author_link,author_link-href,name,bio,Gender,Born country,live in country,ethnicity 1,ethnicuty 2,Race 1,Race 2
1614482637-291,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Hollis, Rachel",https://www.goodreads.com/author/show/7578129.Rachel_Hollis,Rachel Hollis,"edit data
  
	

	
Rachel laid the foundation for her lifestyle brand and media company with the same unfiltered honesty and staunch inclusivity that made her a two-time #1 New York Times bestselling author. Hollis connects with a highly engaged and growing global audience of women who treasure her transparency and optimism. She is one of the most sought-after motivational speakers, plays host to one of today’s top business podcasts and is a proud mama of four who uses her platform to empower and embolden women around the world. Rachel calls Texas home; more specifically the Hill Country just outside of Austin.

IG: https://www.instagram.com/msrachelhol...
FB: https://www.facebook.com/MsRachelHollis/


  Rachel laid the foundation for her lifestyle brand and media company with the same unfiltered honesty and staunch inclusivity that made her a two-time #1 New York Times bestselling author. Hollis connects with a highly engaged and growing global audience of women who treasure her transparency and optimism. She is one of the most sought-after motivational speakers, plays host to one of today’s top business podcasts and is a proud mama of four who uses her platform to empower and embolden women around the world. Rachel calls Texas home; more specifically the Hill Country just outside of Austin.

IG: https://www.instagram.com/msrachelhol...
FB: https://www.facebook.com/MsRachelHollis/


  ...more",F,USA,USA,American,,white,
1614482725-310,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Evaristo, Bernardine",https://www.goodreads.com/author/show/51051.Bernardine_Evaristo,Bernardine Evaristo,"edit data
  
	

	
Bernardine Evaristo is the Anglo-Nigerian award-winning author of several books of fiction and verse fiction that explore aspects of the African diaspora: past, present, real, imagined. Her novel Girl, Woman, Other won the Booker Prize in 2019. Her writing also spans short fiction, reviews, essays, drama and writing for BBC radio. She is Professor of Creative Writing at Brunel University, London, and Vice Chair of the Royal Society of Literature. She was made an MBE in 2009. As a literary activist for inclusion Bernardine has founded a number of successful initiatives, including Spread the Word writer development agency (1995-ongoing); the Complete Works mentoring scheme for poets of colour (2007-2017) and the Brunel International African P
  Bernardine Evaristo is the Anglo-Nigerian award-winning author of several books of fiction and verse fiction that explore aspects of the African diaspora: past, present, real, imagined. Her novel Girl, Woman, Other won the Booker Prize in 2019. Her writing also spans short fiction, reviews, essays, drama and writing for BBC radio. She is Professor of Creative Writing at Brunel University, London, and Vice Chair of the Royal Society of Literature. She was made an MBE in 2009. As a literary activist for inclusion Bernardine has founded a number of successful initiatives, including Spread the Word writer development agency (1995-ongoing); the Complete Works mentoring scheme for poets of colour (2007-2017) and the Brunel International African Poetry Prize (2012-ongoing). 

  ...more",F,UK,UK, European,African,Black,
1614482651-294,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Carroll, Ryder",https://www.goodreads.com/author/show/17732950.Ryder_Carroll,Ryder Carroll,"edit data
  
	

	
Ryder Carroll is a digital product designer and inventor of the Bullet Journal method. He was born and raised in Vienna, Austria, but now lives in Brooklyn, NY. 

He's had the privilege of working with companies like Adidas, American Express, Cisco, IBM, Macy's and HP. He's been featured by the New York Times, LA Times, The Wall Street Journal, BBC, Vogue, New York Magazine, Lifehacker, Mashable and others.

Carroll gave a TEDx talk on How to Lead an Intentional Lifei at Yale University.
  Ryder Carroll is a digital product designer and inventor of the Bullet Journal method. He was born and raised in Vienna, Austria, but now lives in Brooklyn, NY. 

He's had the privilege of working with companies like Adidas, American Express, Cisco, IBM, Macy's and HP. He's been featured by the New York Times, LA Times, The Wall Street Journal, BBC, Vogue, New York Magazine, Lifehacker, Mashable and others.

Carroll gave a TEDx talk on How to Lead an Intentional Lifei at Yale University.
  ...more",M,Austria,USA,,,white,
1614482716-308,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Moore, Donovan",https://www.goodreads.com/author/show/19564630.Donovan_Moore,Donovan Moore,edit data,M,,,,,white,
1614482665-297,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Cahalan, Susannah",https://www.goodreads.com/author/show/5778057.Susannah_Cahalan,Susannah Cahalan,"edit data
  
	

	
Susannah Cahalan is the New York Times bestselling author of ""Brain on Fire: My Month of Madness,"" a memoir about her struggle with a rare autoimmune disease of the brain. She writes for the New York Post. Her work has also been featured in the New York Times, Scientific American Magazine, Glamour, Psychology Today, and others. 
  Susannah Cahalan is the New York Times bestselling author of ""Brain on Fire: My Month of Madness,"" a memoir about her struggle with a rare autoimmune disease of the brain. She writes for the New York Post. Her work has also been featured in the New York Times, Scientific American Magazine, Glamour, Psychology Today, and others. 
  ...more",F,USA,,American,,white,
1614482702-305,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Hicks, Faith Erin",https://www.goodreads.com/author/show/996558.Faith_Erin_Hicks,Faith Erin Hicks,"edit data
  
	

	
Born in the wilds of British Columbia, the young Faith frolicked among the Sasquatch native to the province before moving to Ontario at age five. There she was homeschooled with her three brothers, and developed an unnatural passion for galloping around on horseback, though never without a proper helmet (because you only get one skull). After twenty years of suffering through Ontario’s obscenely hot summers, she migrated east, and now lives beside the other ocean in Halifax, Nova Scotia. She worked in animation for a bit, and now draws comics full time. She’s not sure how that happened either.",F,canida,canida,,,white,
1614482688-302,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Arnold, Naomi",https://www.goodreads.com/author/show/16559356.Naomi_Arnold,Naomi Arnold,"edit data
  
	

	
Naomi Arnold is an award-winning journalist based in Nelson, New Zealand.",F,NZ,NZ,,,white,
1614482674-299,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Becker, Joshua",https://www.goodreads.com/author/show/4397208.Joshua_Becker,Joshua Becker,"edit data
  
	

	
Joshua Becker is the Wall Street Journal and USA Today best-selling author of The Minimalist Home, The More of Less, Clutterfree with Kids and Simplify. 

He is the Founder and Editor of Becoming Minimalist, a website dedicated to intentional living visited by over 2 million readers every month with a social media following of over 2 million. 

His blog was named by SUCCESS Magazine as one of the top ten personal development websites on the Internet and his writing has been featured in publications all around the world.

He is also the co-creator of Simplify Media, the parent company of Simplify Magazine and Simple Money Magazine.

Joshua and his young family were introduced to minimalism twelve years ago during a short conversation with their neig
  Joshua Becker is the Wall Street Journal and USA Today best-selling author of The Minimalist Home, The More of Less, Clutterfree with Kids and Simplify. 

He is the Founder and Editor of Becoming Minimalist, a website dedicated to intentional living visited by over 2 million readers every month with a social media following of over 2 million. 

His blog was named by SUCCESS Magazine as one of the top ten personal development websites on the Internet and his writing has been featured in publications all around the world.

He is also the co-creator of Simplify Media, the parent company of Simplify Magazine and Simple Money Magazine.

Joshua and his young family were introduced to minimalism twelve years ago during a short conversation with their neighbor. Since then, Joshua’s story and writing have inspired millions around the world to find more life by owning fewer possessions. Today, based on his thoughtful and intentional approach to minimalism, he is one of the leading voices in the modern simplicity movement.

He is also the Founder of The Hope Effect, a nonprofit organization changing how the world cares for orphans. Currently, he lives in Peoria, AZ with his wife and two teenage kids.

His online course, Uncluttered, has helped over 45,000 people declutter their homes and live a more intentional life because of it.

His app, Clutterfree, is the only app to create a personalized, room-by-room decluttering to-do list for an individual’s unique home.

And his YouTube channel has over 100,000 subscribers.
  ...more",M,USA,USA,,,white,
1614482647-293,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Carter, Lauren",https://www.goodreads.com/author/show/593969.Lauren_Carter,Lauren Carter,edit data,F,Australia ,Australia ,,,white,
1614482684-301,https://www.goodreads.com/review/list/75557397-holly?shelf=read&view=table,"Bogard, Paul",https://www.goodreads.com/author/show/1944097.Paul_Bogard,Paul Bogard,"edit data
  
	

	
Born and raised in Minnesota, I have lived in Minneapolis, Albuquerque, Reno, northern Wisconsin, Winston-Salem, and now Harrisonburg, Virginia. Ah, the academic life.

I have a wonderful dog named Luna, a Brittany who is nearly 15. Her favorite place to live was Reno. Dog heaven, she says.

Every summer, we leave wherever we are and drive to New Mexico and Nevada to see old friends and walk old walks. Then we head to northern Minnesota for a few weeks. My family has a cabin on a lake there, and so I grew up standing out on our dock, or lying back in a canoe, watching the Milky Way bend from one horizon to the other. That's probably where my book The End of Night was first inspired.

Pizza, the color green, autumn. Things I love.
  Born and raised in Minnesota, I have lived in Minneapolis, Albuquerque, Reno, northern Wisconsin, Winston-Salem, and now Harrisonburg, Virginia. Ah, the academic life.

I have a wonderful dog named Luna, a Brittany who is nearly 15. Her favorite place to live was Reno. Dog heaven, she says.

Every summer, we leave wherever we are and drive to New Mexico and Nevada to see old friends and walk old walks. Then we head to northern Minnesota for a few weeks. My family has a cabin on a lake there, and so I grew up standing out on our dock, or lying back in a canoe, watching the Milky Way bend from one horizon to the other. That's probably where my book The End of Night was first inspired.

Pizza, the color green, autumn. Things I love.
  ...more",M,USA,USA,,,white,
