web-scraper-order,web-scraper-start-url,page,page-href,title,author_name,date
1614669975-1053,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,George and the Unbreakable Code,"Hawking, Lucy","Mar 07, 2019"
1614669981-1071,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,Mars Rover Curiosity: An Inside Account from Curiosity's Chief Engineer,"Manning, Rob","Oct 09, 2018"
1614669963-1021,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,The Georgian Star: How William and Caroline Herschel Revolutionized Our Understanding of the Cosmos,"Lemonick, Michael D.","Dec 07, 2019"
1614669963-1010,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,The Conscious Closet: The Revolutionary Guide to Looking Good While Doing Good,"Cline, Elizabeth L.","Jan 29, 2020"
1614669963-1017,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Less Stuff: Simple Zero-Waste Steps To A Joyful And Clutter-Free Life,"Miles, Lindsay","Dec 23, 2019"
1614669970-1044,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,"Windwitch
        (The Witchlands, #2)","Dennard, Susan","May 19, 2019"
1614669986-1101,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,The Martian,"Weir, Andy",null
1614669963-1015,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,"Avatar: The Last Airbender: Imbalance
        (Avatar: The Last Airbender, #6)","Hicks, Faith Erin","Jan 06, 2020"
1614669981-1078,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"Insurgent
        (Divergent, #2)","Roth, Veronica","Aug 23, 2018"
1614669986-1095,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,The Tales of Beedle the Bard,"Rowling, J.K.",null
1614669981-1068,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality and Our Destiny Beyond Earth","Kaku, Michio","Nov 27, 2018"
1614669975-1045,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,Accessory to War: The Unspoken Alliance Between Astrophysics and the Military,"Tyson, Neil deGrasse","May 13, 2019"
1614669970-1037,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,Cows Save the Planet: And Other Improbable Ways of Restoring Soil to Heal the Earth,"Schwartz, Judith D.","Aug 18, 2019"
1614669990-1109,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=7&per_page=20&shelf=read&utf8=%E2%9C%93,Dewey's Nine Lives: The Legacy of the Small-Town Library Cat Who Inspired Millions,"Myron, Vicki",null
1614669990-1106,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=7&per_page=20&shelf=read&utf8=%E2%9C%93,"Inkspell
        (Inkworld, #2)","Funke, Cornelia",null
1614669975-1048,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,The Index Card: Why Personal Finance Doesn’t Have to Be Complicated,"Olen, Helaine","Apr 14, 2019"
1614669963-1024,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Waste Not Everyday,"Rhoads, Erin","Nov 22, 2019"
1614669956-986,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,Scarcity: Why Having Too Little Means So Much,"Mullainathan, Sendhil","Jan 30, 2021"
1614669986-1094,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,"Harry Potter and the Half-Blood Prince
        (Harry Potter, #6)","Rowling, J.K.",null
1614669981-1070,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,Apollo 8: The Thrilling Story of the First Mission to the Moon,"Kluger, Jeffrey","Oct 15, 2018"
1614669975-1059,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,"Parallel Worlds: A Journey through Creation, Higher Dimensions, and the Future of the Cosmos","Kaku, Michio","Jan 24, 2019"
1614669970-1034,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,This Changes Everything: Capitalism vs. The Climate,"Klein, Naomi","Sep 09, 2019"
1614669986-1100,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,"Harry Potter and the Prisoner of Azkaban
        (Harry Potter, #3)","Rowling, J.K.",null
1614669981-1066,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,Artemis,"Weir, Andy","Dec 03, 2018"
1614669956-985,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character","Feynman, Richard","Feb 14, 2021"
1614669970-1039,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,"100 Things to See in the Southern Night Sky: From Planets and Satellites to Meteors and Constellations, Your Guide to Stargazing","Regas, Dean","Jul 15, 2019"
